Year,Month,Number of Trips,Number Unique Start,Number Unique End,Number Unique Bikes,Bike Number Cumulative,Cumulative Starting Station,Cumulative Ending Station
2013,6,577703,337,337,5794,5794,337,337
2013,7,843416,329,329,5461,5803,367,367
2013,8,1001958,330,330,5750,5852,367,367
2013,9,1034359,330,330,5444,5853,367,367
2013,10,1037712,330,330,5722,5937,367,367
2013,11,675774,330,330,5978,6179,367,367
2013,12,443966,329,329,6310,6533,367,367
2014,1,300400,329,329,6354,6714,367,367
2014,2,224736,329,329,5699,6716,367,367
2014,3,439117,331,331,6298,6950,369,369
2014,4,670780,329,329,6532,6963,369,369
2014,5,866117,328,327,6186,6967,369,369
2014,6,936880,328,328,6358,6968,369,369
2014,7,968842,328,328,6204,6968,369,369
2014,8,963489,326,326,5958,6972,369,369
2014,9,953887,328,328,5888,6973,369,369
2014,10,828711,329,329,5875,6973,369,369
2014,11,529188,329,329,5674,6974,369,369
2014,12,399069,330,330,4728,6974,369,369
2015,1,285552,330,330,4271,6974,375,375
2015,2,196930,328,328,4466,6981,375,375
2015,3,341826,328,328,4854,6985,377,377
2015,4,652390,327,327,5531,6997,377,377
2015,5,961986,327,327,5476,7000,377,377
2015,6,941219,326,326,5897,7212,378,378
2015,7,1085676,330,330,7041,8370,379,379
2015,8,1179044,419,421,7831,9235,466,468
2015,9,1289699,453,453,7936,9410,506,506
2015,10,1212277,463,471,7895,9435,523,528
2015,11,987245,467,475,7694,9445,530,538
2015,12,804125,471,476,7248,9460,535,543
2016,1,509478,472,479,7256,9462,537,547
2016,2,560874,472,481,7483,9472,537,548
2016,3,919921,473,482,7484,9482,540,554
2016,4,1013149,472,483,7156,9592,543,561
2016,5,1212280,475,482,7429,10091,547,566
2016,6,1460318,475,489,7882,10677,552,574
2016,7,1380110,483,492,8143,10863,562,584
2016,8,1557663,574,582,9284,11509,661,684
2016,9,1648856,616,623,9823,11874,704,729
2016,10,1573872,608,615,10081,11895,706,733
2016,11,1196942,606,614,10082,11906,708,737
2016,12,812192,609,613,9481,11909,712,740
2017,1,726676,609,612,8176,11916,716,745
2017,2,791647,614,619,8439,12375,724,752
2017,3,727665,614,619,9765,13751,728,756
2017,4,1315404,613,629,9962,13942,735,765
2017,5,1523268,624,634,10060,14102,742,772
2017,6,1731594,624,635,9968,14139,748,780
2017,7,1735599,623,634,10423,14652,752,785
2017,8,1816498,625,638,10813,15146,759,794
2017,9,1878098,680,696,11615,16106,823,862
2017,10,1897592,756,784,11528,17119,899,943
2017,11,1330649,750,761,12776,17676,906,952
2017,12,889967,752,758,11119,17680,910,956
2018,1,718994,763,768,10449,17687,922,969
2018,2,843114,763,770,10534,17704,924,972
2018,3,976672,767,771,10935,17713,930,977
2018,4,1307543,766,771,11913,17722,933,981
2018,5,1824710,767,777,12335,17740,940,990
2018,6,1953103,765,776,11889,17764,946,997
2018,7,1913625,768,785,10672,17789,950,1003
2018,8,1977177,770,778,11561,18775,1049,1104
2018,9,1877884,768,783,10892,18893,1056,1110
2018,10,1878657,765,777,10887,19420,1059,1113
2018,11,1260355,761,768,12228,19535,1062,1118
2018,12,1016505,762,767,13046,19732,1067,1123
2019,1,967287,767,773,12642,19757,1073,1129
2019,2,943744,767,770,12620,19826,1077,1133
2019,3,1327960,769,773,13966,21024,1083,1139
2019,4,1766094,784,791,14457,21041,1100,1157
2019,5,1924563,793,804,12896,21054,1112,1170
2019,6,2125370,793,806,14319,22701,1117,1177
2019,7,2181064,787,800,14356,22978,1120,1181
2019,8,2344224,794,807,13983,22986,1125,1186
2019,9,2444900,805,820,15875,24968,1141,1202
2019,10,2092573,837,848,15872,24991,1179,1242
2019,11,1478708,869,877,15536,24996,1214,1275
2019,12,955210,881,882,13816,25000,1282,1343
2020,1,1240596,893,896,13049,25002,1335,1396
2020,2,1146830,890,894,13218,25161,1404,1467
2020,3,1068457,889,899,14882,26353,1451,1513
2020,4,682762,887,891,14780,26492,1469,1531
2020,5,1487890,923,934,15003,26683,1516,1578
2020,6,1882273,958,970,15849,27193,1598,1660
2020,7,2105808,989,1007,17075,28157,1629,1692
2020,8,2329514,1039,1059,17835,29544,1687,1752
2020,9,2488225,1087,1112,18283,30677,1741,1808
2020,10,2248869,1144,1163,18472,31612,1793,1859
2020,11,1736704,1152,1161,18993,32740,1803,1868
2020,12,1088929,1174,1184,16841,33067,1824,1889
2021,1,1095346,1221,1227,14720,33107,1873,1938
2021,2,649983,2440,1651,,33107,3476,2675
2021,3,1531094,2649,2241,,33107,3538,2744
2021,4,2067669,2742,2351,,33107,3620,2836
2021,5,2724165,2480,2405,,33107,3679,2904
2021,6,3177517,1473,2549,,33107,4416,3123
2021,7,3084537,1487,2595,,33107,4440,3182
2021,8,3072478,1488,2685,,33107,4451,3208
2021,9,3280221,1488,2955,,33107,4466,3230
2021,10,3069239,2986,2283,,33107,4484,3255
2021,11,2159283,3004,1950,,33107,4499,3272
2021,12,1748287,3014,2152,,33107,4534,3288
2022,1,1052349,3003,2223,,33107,4594,3314
