,Start Latitude,Start Longitude,Number Out,Number In
0,40.7423543,-73.98915076,285239,280352
1,40.69512845,-73.99595065,129149,146776
2,40.73524276,-73.98758561,127196,126463
3,40.70569254,-74.01677685,331255,385951
4,40.75038009,-73.98338988,246674,277796
5,40.73454567,-73.99074142,638448,735517
6,40.7454973,-74.00197139,418411,515136
7,40.72229346,-73.99147535,289613,343760
8,40.7405826,-74.00550867,91736,96173
9,40.76584941,-73.98690506,190889,233207
10,40.714215,-73.981346,164930,165875
11,40.68981035,-73.97493121,98543,119409
12,40.7462009,-73.98855723,382752,441996
13,40.744023,-73.976056,189819,185924
14,40.7149787,-74.013012,212819,263875
15,40.73827428,-73.98751968,316475,369857
16,40.71939226,-74.00247214,245257,293127
17,40.74734825,-73.99723551,396721,462039
18,40.73401143,-74.00293877,407293,488715
19,40.76095756,-73.96724467,314650,372012
20,40.76669671,-73.99061728,255556,298481
21,40.74475148,-73.99915362,387211,458222
22,40.73781509,-73.99994661,270095,323911
23,40.74394314,-73.97966069,342238,406513
24,40.722103786686034,-73.99724900722504,406204,508744
25,40.722055,-73.989111,354507,419081
26,40.73935542,-73.99931783,393919,456999
27,40.7262807,-73.98978041,310891,372195
28,40.71893904,-73.99266288,321106,361106
29,40.73291553,-74.00711384,559376,639376
30,40.71602118,-73.99974372,243975,290417
31,40.68382604,-73.97632328,110227,144305
32,40.68522671947255,-73.97800147533417,1191,1285
33,40.72740794,-73.98142006,423412,515464
34,40.75640548,-73.9900262,559355,638179
35,40.73020660529954,-73.99102628231049,320498,407473
36,40.7568001,-73.98291153,187880,193650
37,40.72110063,-73.9919254,209570,258700
38,40.75066386,-74.00176802,190658,264825
39,40.751581,-73.97791,319040,308402
40,40.724399,-74.004704,92078,93974
41,40.716633,-73.981933,351,661
42,40.71870987,-74.0090009,127525,144802
43,40.72621788,-73.98379855,421295,504002
44,40.71911552,-74.00666661,191809,225938
45,40.76727216,-73.99392888,263723,297862
46,40.75513557,-73.98658032,401910,442982
47,40.73535398,-74.00483091,216047,267156
48,40.7158155,-73.99422366,266768,311760
49,40.75096734871598,-73.99444207549095,104253,91335
50,40.751551,-73.993934,592469,645460
51,40.73224119,-74.00026394,223926,274872
52,40.74901271,-73.98848395,464648,555115
53,40.7606597,-73.98042047,104214,154040
54,40.71044554,-73.96525063,127166,164316
55,40.75019995,-73.99093085,467281,561679
56,40.7284186,-73.98713956,368871,450852
57,40.71117444,-73.99682619,142547,168179
58,40.73261787,-73.99158043,155456,155307
59,40.710451,-73.960876,275545,333058
60,40.72743423,-73.99379025,438030,503927
61,40.72362738,-73.99949601,254135,319458
62,40.74345335,-74.00004031,301303,359051
63,40.69363137,-73.96223558,82141,107797
64,40.728145,-73.990214,96871,99693
65,40.69236178,-73.98631746,176532,205732
66,40.69475701363877,-73.99052739143372,8335,7573
67,40.73221853,-73.98165557,461644,539629
68,40.71260486,-73.96264403,138889,173658
69,40.69089272,-73.99612349,126608,152868
70,40.69239502,-73.99337909,125312,148350
71,40.756014,-73.967416,153407,153425
